Word,Rank,Frequency
the,1,133603
and,2,95444
of,3,71269
to,4,48060
a,5,33962
in,6,33580
i,7,30300
that,8,28811
he,9,25868
it,10,22304
his,11,21412
for,12,19527
was,13,18721
with,14,17600
not,15,17385
is,16,16439
you,17,16422
be,18,16117
as,19,14529
but,20,13946
all,21,13729
they,22,13107
him,23,13026
shall,24,11684
her,25,11574
my,26,10515
had,27,10324
them,28,10249
have,29,10117
s,30,9897
me,31,9479
said,32,9429
at,33,9176
she,34,9102
from,35,9076
unto,36,9010
this,37,8915
which,38,8775
on,39,8597
lord,40,8590
by,41,8512
their,42,7807
so,43,7794
will,44,7371
were,45,6872
are,46,6855
thou,47,6759
there,48,6382
when,49,6331
or,50,6325
one,51,6224
no,52,5846
what,53,5793
out,54,5771
man,55,5616
thy,56,5609
god,57,5287
if,58,5245
we,59,5142
your,60,5126
then,61,5094
up,62,5023
an,63,4897
thee,64,4807
do,65,4709
now,66,4681
ye,67,4674
upon,68,4587
who,69,4264
into,70,4098
more,71,4064
would,72,4047
very,73,4019
come,74,3642
could,75,3596
like,76,3469
before,77,3449
been,78,3411
any,79,3358
came,80,3337
day,81,3326
king,82,3149
did,83,3122
little,84,3068
know,85,3058
am,86,2987
than,87,2908
house,88,2900
good,89,2899
every,90,2892
see,91,2885
great,92,2860
these,93,2850
go,94,2841
down,95,2819
us,96,2807
people,97,2802
some,98,2759
son,99,2754
made,100,2744
say,101,2739
men,102,2726
after,103,2723
our,104,2721
how,105,2717
time,106,2708
let,107,2676
d,108,2601
about,109,2595
israel,110,2592
such,111,2560
over,112,2559
should,113,2552
may,114,2552
hath,115,2535
well,116,2511
only,117,2506
even,118,2480
other,119,2451
hand,120,2446
two,121,2375
mr,122,2357
must,123,2339
can,124,2330
father,125,2319
against,126,2317
much,127,2309
went,128,2307
t,129,2257
make,130,2255
children,131,2253
yet,132,2234
own,133,2223
o,134,2221
also,135,2186
again,136,2122
old,137,2081
land,138,2081
away,139,2027
things,140,1977
thing,141,1975
might,142,1963
first,143,1939
way,144,1918
because,145,1896
mrs,146,1859
where,147,1853
never,148,1838
give,149,1830
take,150,1803
nor,151,1801
here,152,1784
long,153,1765
saying,154,1746
though,155,1738
himself,156,1702
think,157,1694
earth,158,1683
shalt,159,1673
those,160,1668
has,161,1656
ever,162,1656
being,163,1652
saw,164,1636
therefore,165,1628
heard,166,1599
put,167,1592
many,168,1591
through,169,1589
place,170,1588
without,171,1581
off,172,1576
most,173,1524
heart,174,1500
head,175,1495
name,176,1493
too,177,1486
nothing,178,1469
behold,179,1468
life,180,1447
eyes,181,1428
whom,182,1424
among,183,1405
thus,184,1366
still,185,1355
thought,186,1353
sea,187,1351
just,188,1336
last,189,1333
done,190,1322
word,191,1303
its,192,1291
world,193,1286
face,194,1275
why,195,1274
night,196,1270
days,197,1270
same,198,1268
saith,199,1267
found,200,1263
voice,201,1258
another,202,1256
whale,203,1254
took,204,1242
hear,205,1235
brought,206,1231
hast,207,1230
three,208,1229
while,209,1222
mother,210,1213
forth,211,1195
miss,212,1193
sons,213,1191
look,214,1187
heaven,215,1185
set,216,1181
side,217,1166
round,218,1162
young,219,1158
tell,220,1154
right,221,1148
called,222,1138
under,223,1126
back,224,1123
love,225,1121
david,226,1110
neither,227,1109
cried,228,1107
pass,229,1090
seemed,230,1086
quite,231,1081
soon,232,1081
oh,233,1075
both,234,1073
words,235,1057
city,236,1052
sir,237,1050
thine,238,1047
left,239,1023
years,240,1023
mine,241,1020
till,242,1018
always,243,1013
hands,244,1006
speak,245,1003
bring,246,996
jesus,247,988
looked,248,984
high,249,982
death,250,981
herself,251,971
woman,252,967
together,253,964
far,254,946
sent,255,944
