Year,Month,Day,Category,Num Articles
2016,1,1,Fashion & Style,2
2016,1,1,Books,1
2016,1,1,Food,1
2016,1,1,Sports,14
2016,1,1,Corrections,1
2016,1,1,N.Y. / Region,15
2016,1,1,Science,1
2016,1,1,Arts,24
2016,1,1,Movies,7
2016,1,1,Business Day,13
2016,1,1,Technology,5
2016,1,1,T Magazine,1
2016,1,1,Paid Death Notices,5
2016,1,1,World,21
2016,1,1,Multimedia/Photos,1
2016,1,1,Opinion,13
2016,1,1,Automobiles,2
2016,1,1,Crosswords & Games,1
2016,1,1,Health,1
2016,1,1,Theater,4
2016,1,1,Times Insider,1
2016,1,1,U.S.,14
2016,1,2,Books,2
2016,1,2,Opinion,12
2016,1,2,World,17
2016,1,2,Paid Death Notices,3
2016,1,2,Your Money,3
2016,1,2,Sports,15
2016,1,2,Corrections,1
2016,1,2,N.Y. / Region,6
2016,1,2,Crosswords & Games,2
2016,1,2,U.S.,12
2016,1,2,The Upshot,1
2016,1,2,Arts,8
2016,1,2,Theater,1
2016,1,2,Business Day,5
2016,1,2,Technology,3
2016,1,3,Fashion & Style,23
2016,1,3,Style,1
2016,1,3,Books,24
2016,1,3,Opinion,18
2016,1,3,Universal,2
2016,1,3,Sports,46
2016,1,3,Corrections,1
2016,1,3,N.Y. / Region,27
2016,1,3,The Upshot,1
2016,1,3,Arts,17
2016,1,3,Movies,8
2016,1,3,Business Day,8
2016,1,3,Magazine,14
2016,1,3,Travel,10
2016,1,3,World,7
2016,1,3,Paid Death Notices,54
2016,1,3,Your Money,1
2016,1,3,Real Estate,9
2016,1,3,Job Market,1
2016,1,3,Crosswords & Games,1
2016,1,3,Theater,3
2016,1,3,U.S.,9
2016,1,4,Fashion & Style,1
2016,1,4,Blogs,3
2016,1,4,Style,1
2016,1,4,Books,2
2016,1,4,Food,2
2016,1,4,Education,4
2016,1,4,Universal,3
2016,1,4,Sports,21
2016,1,4,Corrections,1
2016,1,4,N.Y. / Region,10
2016,1,4,Science,2
2016,1,4,NYT Now,2
2016,1,4,Arts,7
2016,1,4,T Magazine,4
2016,1,4,Business Day,12
2016,1,4,Technology,5
2016,1,4,Real Estate,1
2016,1,4,Travel,3
2016,1,4,World,14
2016,1,4,Multimedia/Photos,2
2016,1,4,Your Money,1
2016,1,4,Opinion,19
2016,1,4,Crosswords & Games,2
2016,1,4,U.S.,31
2016,1,4,Health,5
2016,1,4,Theater,1
2016,1,4,Times Insider,1
2016,1,4,Paid Death Notices,10
2016,1,5,Fashion & Style,2
2016,1,5,Blogs,3
2016,1,5,Books,2
2016,1,5,Food,1
2016,1,5,Education,4
2016,1,5,Universal,1
2016,1,5,N.Y. / Region,16
2016,1,5,Corrections,1
2016,1,5,Sports,21
2016,1,5,Science,7
2016,1,5,NYT Now,2
2016,1,5,The Upshot,2
2016,1,5,Arts,24
2016,1,5,Movies,2
2016,1,5,Business Day,18
2016,1,5,Technology,5
2016,1,5,T Magazine,4
2016,1,5,World,23
2016,1,5,Multimedia/Photos,2
2016,1,5,Your Money,1
2016,1,5,Opinion,23
2016,1,5,Crosswords & Games,1
2016,1,5,U.S.,34
2016,1,5,Health,2
2016,1,5,Times Insider,1
2016,1,5,Paid Death Notices,11
2016,1,5,Times Topics,1
2016,1,6,Blogs,3
2016,1,6,Travel,3
2016,1,6,Books,2
2016,1,6,Food,16
2016,1,6,Education,4
2016,1,6,Universal,3
2016,1,6,Sports,22
2016,1,6,Corrections,1
2016,1,6,N.Y. / Region,16
2016,1,6,NYT Now,3
2016,1,6,The Upshot,5
2016,1,6,Arts,11
2016,1,6,Movies,3
2016,1,6,Business Day,25
2016,1,6,Technology,7
2016,1,6,T Magazine,5
2016,1,6,Magazine,1
2016,1,6,Real Estate,6
2016,1,6,World,23
2016,1,6,Multimedia/Photos,2
2016,1,6,Opinion,24
2016,1,6,Crosswords & Games,1
2016,1,6,U.S.,41
2016,1,6,Health,4
2016,1,6,Theater,2
2016,1,6,Times Insider,1
2016,1,6,Paid Death Notices,7
2016,1,7,Fashion & Style,13
2016,1,7,Blogs,2
2016,1,7,Books,1
2016,1,7,Opinion,22
2016,1,7,Education,4
2016,1,7,Universal,3
2016,1,7,N.Y. / Region,15
2016,1,7,Corrections,1
2016,1,7,Sports,20
2016,1,7,Science,3
2016,1,7,NYT Now,2
2016,1,7,The Upshot,3
2016,1,7,Arts,23
2016,1,7,Movies,6
2016,1,7,Business Day,28
2016,1,7,Technology,7
2016,1,7,T Magazine,11
2016,1,7,Magazine,1
2016,1,7,World,20
2016,1,7,Multimedia/Photos,2
2016,1,7,Your Money,1
2016,1,7,Travel,4
2016,1,7,Crosswords & Games,1
2016,1,7,U.S.,47
2016,1,7,Health,4
2016,1,7,Times Insider,1
2016,1,7,Paid Death Notices,15
2016,1,8,Fashion & Style,11
2016,1,8,Blogs,3
2016,1,8,Style,1
2016,1,8,Sports,19
2016,1,8,Books,1
2016,1,8,Food,1
2016,1,8,Education,4
2016,1,8,Universal,1
2016,1,8,N.Y. / Region,17
2016,1,8,Corrections,1
2016,1,8,Business Day,19
2016,1,8,Science,2
2016,1,8,NYT Now,4
2016,1,8,The Upshot,2
2016,1,8,Arts,25
2016,1,8,Movies,14
2016,1,8,U.S.,36
2016,1,8,Technology,5
2016,1,8,T Magazine,8
2016,1,8,Magazine,1
2016,1,8,Travel,2
2016,1,8,Great Homes & Destinations,2
2016,1,8,World,23
2016,1,8,Multimedia/Photos,1
2016,1,8,Your Money,1
2016,1,8,Opinion,25
2016,1,8,Automobiles,2
2016,1,8,Crosswords & Games,1
2016,1,8,Health,4
2016,1,8,Theater,3
2016,1,8,Times Insider,1
2016,1,8,Paid Death Notices,15
2016,1,9,Fashion & Style,8
2016,1,9,Opinion,7
2016,1,9,World,12
2016,1,9,Technology,1
2016,1,9,Universal,1
2016,1,9,Sports,15
2016,1,9,Corrections,1
2016,1,9,N.Y. / Region,7
2016,1,9,Science,1
2016,1,9,Crosswords & Games,2
2016,1,9,U.S.,14
2016,1,9,Arts,2
2016,1,9,T Magazine,1
2016,1,9,Business Day,5
2016,1,9,Paid Death Notices,4
2016,1,10,Fashion & Style,32
2016,1,10,Travel,8
2016,1,10,Books,23
2016,1,10,Opinion,21
2016,1,10,Universal,4
2016,1,10,Sports,29
2016,1,10,Corrections,1
2016,1,10,N.Y. / Region,27
2016,1,10,NYT Now,1
2016,1,10,The Upshot,1
2016,1,10,Arts,16
2016,1,10,Movies,6
2016,1,10,Business Day,6
2016,1,10,Technology,2
2016,1,10,T Magazine,2
2016,1,10,Magazine,12
2016,1,10,Public Editor,1
2016,1,10,World,15
2016,1,10,Multimedia/Photos,1
2016,1,10,Your Money,1
2016,1,10,Real Estate,13
2016,1,10,Job Market,2
2016,1,10,Crosswords & Games,1
2016,1,10,U.S.,13
2016,1,10,Theater,5
2016,1,10,Paid Death Notices,38
2016,1,11,Fashion & Style,6
2016,1,11,Blogs,3
2016,1,11,Travel,1
2016,1,11,Books,1
2016,1,11,Food,1
2016,1,11,Education,5
2016,1,11,Universal,6
2016,1,11,N.Y. / Region,9
2016,1,11,Corrections,1
2016,1,11,Sports,18
2016,1,11,Science,1
2016,1,11,NYT Now,2
2016,1,11,The Upshot,1
2016,1,11,Arts,13
2016,1,11,Movies,3
2016,1,11,Business Day,11
2016,1,11,Technology,2
2016,1,11,T Magazine,10
2016,1,11,World,16
2016,1,11,Multimedia/Photos,2
2016,1,11,Your Money,1
2016,1,11,Opinion,19
2016,1,11,Crosswords & Games,1
2016,1,11,U.S.,24
2016,1,11,Health,4
2016,1,11,Theater,4
2016,1,11,Times Insider,1
2016,1,11,Paid Death Notices,15
2016,1,12,Blogs,3
2016,1,12,Times Insider,1
2016,1,12,Education,4
2016,1,12,Opinion,16
2016,1,12,World,6
2016,1,12,Multimedia/Photos,3
2016,1,12,Arts,7
2016,1,12,N.Y. / Region,2
2016,1,12,Corrections,1
2016,1,12,Business Day,3
2016,1,12,Science,1
2016,1,12,NYT Now,2
2016,1,12,Crosswords & Games,1
2016,1,12,U.S.,19
2016,1,12,The Upshot,2
2016,1,12,Health,1
2016,1,12,T Magazine,6
2016,1,12,Real Estate,2
2016,1,12,Technology,3
2016,1,12,Travel,1
2016,1,12,Times Topics,1
2016,1,13,Fashion & Style,4
2016,1,13,Blogs,3
2016,1,13,Travel,4
